Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-04-12 11:33:39.400 +0530,"Success",0:00:00,0,0,0,"20220412_113339.400/LogFile.txt","","",1
2022-04-12 11:33:52.859 +0530,"Success",0:00:00,0,0,0,"20220412_113352.859/LogFile.txt","","",1
2022-04-12 13:09:26.160 +0530,"Aborted",0:00:22,1,0,1,"20220412_130926.160/LogFile.txt","","",0
2022-04-12 15:49:55.266 +0530,"Failure",0:00:32,1,0,1,"20220412_154955.266/LogFile.txt","","Image Search Error -- imagefound Error - Searching For Image: OCR Error: Internal error",0
2022-04-12 16:03:45.249 +0530,"Failure",0:00:31,1,0,1,"20220412_160345.249/LogFile.txt","","Image Search Error -- imagefound Error - Searching For Image: OCR Error: Internal error",0
2022-04-12 16:04:48.292 +0530,"Failure",0:00:34,1,0,1,"20220412_160448.292/LogFile.txt","","Image Search Error -- imagefound Error - Searching For Image: OCR Error: Internal error",0
2022-04-12 17:15:35.671 +0530,"Failure",0:00:33,1,0,1,"20220412_171535.671/LogFile.txt","","Image Search Error -- imagefound Error - Searching For Image: OCR Error: Internal error",0
2022-04-12 17:16:51.791 +0530,"Failure",0:00:33,1,0,1,"20220412_171651.791/LogFile.txt","","Image Search Error -- imagefound Error - Searching For Image: OCR Error: Internal error",0
2022-04-13 10:07:33.993 +0530,"Failure",0:01:07,1,0,1,"20220413_100733.993/LogFile.txt","","Image Search Error -- imagefound Error - Searching For Image: OCR Error: Internal error",0
2022-04-13 10:33:18.802 +0530,"Aborted",0:00:01,1,0,0,"20220413_103318.802/LogFile.txt","","",0
2022-04-13 16:49:42.232 +0530,"Aborted",0:00:02,1,0,1,"20220413_164942.232/LogFile.txt","","",0
